region,country,regime,gwftype,duryear,milstart,milend,natblg,yeardiff,colonyof,status,millead,milparty,mpexist,mpdummy,mpestb,seat1,seat100_1,majority,majordummy,gedate1,oppos,seat2,seat100_2,gedate2,opposnum,timediff,seat3,seat4,seat100_3,gdp,gdp1,loggdp1,population,gpc,loggpc10,gdpgrow,gg100,milexp,opec,milexp1,mgr,mgr100,ethnic,ethnic100,remark
Africa,Rwanda,Rwanda2,party-military,26,1994-07-04,2020-11-09,1962-07-01,32,Belgium,0,Paul Kagame,"Front Patriotique Rwandais
(FPR)",YES,1,1979-05-01,62.26%,62,YES,1,2003-09-29,"Mouvement R?publicain National pour la D?mocratie et le D?veloppement
(MRND)",100.00%,100,1988-12-26,1,15,0.00%,100.00%,100,1846000000,18,13,8557161,216,23,2.20%,2,45196269,0,45,2.45%,2,0.256,26,
Africa,Sierra Leone,Sierra Leone1,military,1,1967-03-23,1968-04-18,1961-04-27,6,the United Kingdom,1,"Andrew Juxon-Smith
(National Reformation Council)",,NO,0,,0%,0,NO,0,,"All People's Congress
(APC)",41.03%,41,1967-03-17,2,,35.90%,76.92%,77,348795303,3,5,2596805,134,21,0.04%,0,2883154,0,3,0.80%,1,0.798,80,
Africa,Sierra Leone,Sierra Leone2,military-personal,4,1992-04-29,1996-03-15,1961-04-27,31,the United Kingdom,1,"Valentine Strasser
(National Provisional Ruling Council)",,NO,0,,0%,0,NO,0,,"All People's Congress
(APC)",82.68%,83,1986-05-29,1,,0.00%,82.68%,83,679997998,7,8,4347724,156,22,-19.01%,-19,26661755,0,27,2.69%,3,0.8,80,one-party state from 1978 to 1991
Asia,South Korea,South Korea,military-personal,26,1961-05-16,1987-06-29,1945-08-15,16,Japan,1,"Park Jeong-hee
Chun Doo-hwan","Democratic Republican Party
(DRP)
-> Democratic Justice Party
(DJP)",YES,1,1963-02-02,62.86%,63,YES,1,1963-11-26,"Democratic Party
(DP)",75.11%,75,1960-07-29,6,3,1.72%,76.82%,77,3989000000,40,16,27261747,146,22,9.02%,9,185384615,0,185,4.82%,5,0,0,
Asia,South Vietnam,South Vietnam,military,11,1963-11-02,1975-04-30,1945-09-02,18,France,1,"D??ng V?n Minh
Nguy?n Kh?nh
Nguy?n V?n Thi?u",,NO,0,,0%,0,NO,0,1966-09-11,National Revolutionary Movement,63.41%,63,1959-08-30,5,7,3.25%,66.67%,67,,,,,,,,,,0,,,,0.264,26,
Africa,Sudan,Sudan1,military,6,1958-11-17,1964-10-29,1956-07-01,2,the United Kingdom & Egypt (Condominium),1,Ibrahim Abboud,,NO,0,,0%,0,NO,0,,National Umma Party,36.42%,36,1958-02-27,4,,26.01%,62.43%,62,,,,,,,,,,1,,,,0.744,74,
Africa,Sudan,Sudan2,military,1,1985-04-06,1986-04-12,1956-07-01,29,the United Kingdom & Egypt (Condominium),1,Abdel Rahman Swar al-Dahab,,NO,0,,0%,0,NO,0,,"Sudanese Socialist Union
(SSU)",100.00%,100,1981-11-13,1,,0.00%,100.00%,100,12404000000,124,21,17210187,721,29,-6.28%,-6,205293357,1,205,3.40%,3,0.747,75,one-party state from 1971 to 1985
Asia,Syria,Syria1,indirect military,2,1949-12-19,1951-11-29,1945-10-24,4,France,1,"Husni al-Za'im
Sami al-Hinnawi
Adib Shishakli",,NO,0,,0%,0,NO,0,,Parti du peuple,55.26%,55,1949-11-16,5,,11.40%,66.67%,67,,,,,,,,,,1,,,,0.196,20,
Asia,Syria,Syria2,military,2,1951-11-29,1954-02-25,1945-10-24,6,France,1,Adib Shishakli,Arab Liberation Movement,YES,1,1952-08-25,87.80%,88,YES,1,1953-10-09,Parti du peuple,55.26%,55,1949-11-16,5,4,11.40%,66.67%,67,,,,,,,,,,1,,,,0.197,20,the People's Party and the National Party were both closed down and prohibited from operating
Asia,Syria,Syria3,indirect military,1,1962-03-28,1963-03-08,1945-10-24,17,France,1,"Abd al-Karim al-Nahlawi
Haydar al-Kuzbari",,NO,0,,0%,0,NO,0,,Parti du peuple,19.19%,19,1961-12-01,10,,12.21%,31.40%,31,1111000000,11,10,4875422,228,24,24.52%,25,149593496,1,150,13.47%,13,0.2,20,
Asia,Syria,Syria4,party-personal-military,58,1963-03-08,2020-11-09,1945-10-24,18,France,0,"Michel Aflaq
Salah al-Din al-Bitar
Salah Jadid
Hafez al-Assad
Bashar al-Assad",Arab Socialist Ba?ath Party,YES,1,1966-02-23,65.59%,66,YES,1,1973-05-25,Parti du peuple,19.19%,19,1961-12-01,10,11,12.21%,31.40%,31,3239000000,32,15,7037851,460,27,-8.55%,-9,388674557,1,389,15.07%,15,0.203,20,
Asia,Thailand,Thailand1,military-personal,10,1947-11-08,1957-09-16,1932-06-24,15,No,1,Plaek Phibunsongkhram,Seri Manangkhasila Party,YES,1,1955-09-29,53.13%,53,YES,1,1957-02-26,,0%,0,1946-01-06,0,11,0.00%,0.00%,0,,,,,,,,,,0,,,,0.389,39,
Asia,Thailand,Thailand2,military-personal,16,1957-09-16,1973-10-14,1932-06-24,25,No,1,"Sarit Thanarat
Thanom Kittikachorn",United Thai People's Party,YES,1,1968-10-24,34.25%,34,NO,0,1969-02-10,Seri Manangkhasila Party,30.04%,30,1957-02-26,8,12,10.95%,40.99%,41,6695000000,67,18,35827092,187,23,6.55%,7,184903846,0,185,3.56%,4,0.382,38,
Asia,Thailand,Thailand3,military-personal,12,1976-10-06,1988-07-24,1932-06-24,44,No,1,"Kriangsak Chamanan
Prem Tinsulanonda",,NO,0,,0%,0,NO,0,1979-04-22,"Democratic Party
(Prachathipat)",40.86%,41,1976-04-07,19,3,20.07%,60.93%,61,27372000000,274,24,46401754,590,28,5.37%,5,1199000000,0,1199,4.38%,4,0.376,38,
Asia,Thailand,Thailand4,military,1,1991-02-23,1992-05-20,1932-06-24,59,No,1,"Suchinda Kraprayoon
(National Peace Keeping Council)",,NO,0,,0%,0,NO,0,1992-03-22,"Thai Nation Party
(Phak Chat Thai)",24.37%,24,1988-07-24,15,4,15.13%,39.50%,39,1.11E+11,1115,30,57811021,1928,33,8.08%,8,2962000000,0,2962,2.66%,3,0.367,37,
Asia,Thailand,Thailand5,military,1,2006-09-19,2007-12-23,1932-06-24,74,No,1,Sonthi Boonyaratglin,,NO,0,,0%,0,NO,0,,"Thai Rak Thai Party
(Phak Thai Rak Thai)",75.40%,75,2005-02-06,4,,19.20%,94.60%,95,2.22E+11,2218,33,65812536,3370,35,4.97%,5,2442000000,0,2442,1.18%,1,0.357,36,
Asia,Thailand,Thailand6,party-personal-military,6,2014-05-22,2020-11-09,1932-06-24,82,No,0,Prayut Chan-o-cha,Palang Pracharath Party,YES,1,2018-03-02,23.20%,23,NO,0,2019-03-24,"Pheu Thai Party
(Phak Phuea Thai)",53.00%,53,2011-07-03,11,8,31.80%,84.80%,85,5.44E+11,5437,37,69625582,7808,39,2.37%,2,7315000000,0,7315,1.34%,1,0.352,35,officially Prayut is not affiliated with the party
Europe,Turkey,Turkey1,military,1,1960-05-27,1961-10-15,1932-06-24,28,No,1,"Alparslan T?rke?
Cemal G?rsel
(Committee of National Unity)",,NO,0,,0%,0,NO,0,,"Demokrat Parti
(DP)",69.51%,70,1957-10-20,4,,29.18%,98.69%,99,13995000000,140,21,27472345,509,27,,,468810916,0,469,3.53%,4,0.13,13,
Europe,Turkey,Turkey2,military,3,1980-09-12,1983-11-06,1932-06-24,48,No,1,"Kenan Evren
(National Security Council)",,NO,0,,0%,0,NO,0,,"Cumhuriyet Halk Partisi
(CHP)",47.33%,47,1977-06-05,7,,42.00%,89.33%,89,68789000000,688,28,43975971,1564,32,-2.25%,-2,2672000000,0,2672,3.90%,4,0.242,24,
Latin America,Uruguay,Uruguay,military,11,1973-06-27,1984-11-25,1825-08-25,148,Brazil,1,National Security Council,,NO,0,,0%,0,NO,0,,Colorado Party,41.00%,41,1971-11-28,3,,40.00%,81.00%,81,3964000000,40,16,2822117,1405,31,0.28%,0,112465598,0,112,3.76%,4,0.197,20,the civilian president and the military compromised secretly
Latin America,Venezuela,Venezuela,military-personal,9,1948-11-24,1958-01-23,1811-07-05,137,Spain,1,"Carlos Delgado Chalbaud
Marcos P?rez Jim?nez
Luis Felipe Llovera P?ez",,NO,0,,0%,0,NO,0,,"Acci?n Democr?tica
(AD)",77.56%,78,1947-12-14,6,,12.82%,90.38%,90,,,,,,,,,,1,,,,0.444,44,
Asia,Yemen,Yemen1,military,5,1962-09-26,1967-11-05,1918-10-30,44,the Ottoman Empire,1,Abdullah as-Sallal,,NO,0,,0%,0,NO,0,1964-10-16,,0%,0,1959-01-04,0,6,0.00%,0.00%,0,,,,5641597,,,,,,0,,,,0.175,18,"no party in 1950s
all the major political parties boycotted the 1964 election"
Asia,Yemen,Yemen2,military,4,1974-06-13,1978-07-17,1918-10-30,56,the Ottoman Empire,1,"Ibrahim al-Hamdi
Ahmad al-Ghashmi",,NO,0,,0%,0,NO,0,,,0%,0,1971-02-01,0,,0.00%,0.00%,0,,,,6629999,,,,,,0,,,,0.164,16,political parties were banned
